AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00359	CD4	CD4	Rabbit	Abcam	ab133616	Valid	ENSG00000010610.10
AGID00411	CD44	CD44	Mouse	CST	3570	Caution	ENSG00000026508.20
AGID00237	CD45	PTPRC	Mouse	DAKO	M070101-2	Valid	ENSG00000081237.20
AGID00115	CD49B	ITGA2	Mouse	BD Biosciences	611016	Valid	ENSG00000164171.11
AGID02171	CD86	CD86	Rabbit	CST	91882	Caution	ENSG00000114013.16
AGID00329	cdc25C	CDC25C	Rabbit	CST	4688	Valid	ENSG00000158402.20
AGID00227	Cdc42	CDC42/RAC1	Rabbit	CST	4651	Caution	ENSG00000070831.17/ENSG00000136238.18
AGID00422	Cdc6	CDC6	Rabbit	CST	3387	Valid	ENSG00000094804.12
AGID00501	CDK1	CDK1	Rabbit	CST	9112	Valid	ENSG00000170312.16
AGID00293	CDK1_pT14	CDK1/CDK2/CDK3	Rabbit	Abcam	ab32384	Caution	ENSG00000170312.16/ENSG00000123374.11/ENSG00000250506.8
AGID00314	CDK1_pY15	CDK1	Rabbit	CST	4539	Caution	ENSG00000170312.16
AGID00423	CDT1	CDT1	Rabbit	CST	8064	Valid	ENSG00000167513.9
AGID02101	cGAS	CGAS	Rabbit	CST	15102	Valid	ENSG00000164430.16
AGID00447	CHD1L	CHD1L	Rabbit	CST	13460	Valid	ENSG00000131778.19
AGID00189	CHK1	CHEK1	Mouse	CST	2360	Caution	ENSG00000149554.13
AGID00234	CHK1_pS296	CHEK1	Rabbit	Abcam	ab79758	Valid	ENSG00000149554.13
AGID00107	CHK1_pS345	CHEK1	Rabbit	CST	2348	Caution	ENSG00000149554.13
AGID00018	CHK2	CHEK2	Mouse	CST	3440	Valid	ENSG00000183765.23
AGID00019	CHK2_pT68	CHEK2	Rabbit	CST	2197	Caution	ENSG00000183765.23
AGID00527	CIAP	BIRC2	Rabbit	CST	4952	Valid	ENSG00000110330.8
AGID00350	CIITA	CIITA	Rabbit	CST	3793	Caution	ENSG00000179583.19
AGID00434	CJUN_pS73	JUN	Rabbit	CST	9164	Valid	ENSG00000177606.8
AGID00020	CKIT	KIT	Rabbit	Epitomics/Abcam	1522-1/ab32363	Valid	ENSG00000157404.16
AGID00400	CLAUDIN7	CLDN7	Rabbit	Novus	NB100-91714	Valid	ENSG00000181885.18
AGID00466	CMET	MET	Mouse	CST	3127	Caution	ENSG00000105976.16
AGID00079	CMET_pY1235	MET	Rabbit	CST	3129	Valid	ENSG00000105976.16
AGID00167	CMYC	MYC	Rabbit	CST	9402	Caution	ENSG00000136997.21
