antibody,BMP2_1,BMP2_24,BMP2_4,BMP2_48,BMP2_8,ctrl_0,EGF_1,EGF_24,EGF_4,EGF_48,EGF_8,HGF_1,HGF_24,HGF_4,HGF_48,HGF_8,IFNG_1,IFNG_24,IFNG_4,IFNG_48,IFNG_8,OSM_1,OSM_24,OSM_4,OSM_48,OSM_8,PBS_1,PBS_24,PBS_4,PBS_48,PBS_8,TGFB_1,TGFB_24,TGFB_4,TGFB_48,TGFB_8
Akt_pS473,-0.18573715016878264,-0.06560819558984433,-0.36282046175332794,0.24537472992676843,-0.20532600716926747,0.6707914884541121,0.21961362086736744,0.07586830092082579,-0.10102543412404683,-0.05089277831492794,0.18620549437397832,0.09356505556628175,-0.16131942171483873,-0.15791324100019546,-5.874143860922117e-4,-0.11470962907399654,-0.09503318519711955,-0.09807830240329786,-0.14703671619244021,0.2955323998462184,0.19856749601550236,0.23973074869476912,-0.34937650552768273,-0.22721547866966782,-0.6441973468266572,-0.06877247890984534,-0.7485755504183098,-0.13382240437156936,0.07050506815018764,-0.31653225829941595,0.014632471783187207,-0.07753625540654417,0.09747715074067899,-0.3351437381446408,0.3352290423838965,-0.20638444696344055
Akt_pT308,0.023340721819433186,0.006365580714473881,-0.09773833984647269,-0.03813754967449048,-0.051703002347050206,0.3505819594067941,0.15610420215836984,0.059779618800489036,0.013361704319275063,0.08211446101929958,0.09881483274502763,0.05412729220617664,-0.07394187471213096,-0.0743939244981224,-0.030762734188817396,-0.037012702688926195,-0.034621870671901846,-0.07170723981135163,-0.05539057162190068,0.06281610248843254,0.02470379218371357,0.07279360018499777,-0.12282477100140896,-0.07175747104245041,-0.10754564454557818,-0.06594642097762067,-0.24049158560424516,-0.04179843495070532,-0.1160363341197421,0.029374336835807584,-0.013239482316948709,-0.0597611991332875,0.10367073565171571,-0.1042918895389966,0.2661613845394581,-0.07554603365919456
AMPK-a2_pS345,-0.05873426803764235,-0.01821149755500652,-0.039828761343036014,0.09085285533315142,0.021222497487849646,0.021731242150639117,-0.027269433855917548,-0.039727683226028467,-0.04077531688728459,0.06561090819754284,-0.024743489631053925,0.028035604577548626,0.06151013012487094,-0.028255404820686055,0.01240271772245149,0.013346167612393543,-0.05608479122703739,-0.019785393352468254,-0.06375227837572801,0.13385709181135763,-0.010726038590556316,0.005766937584561981,-0.019505695850972442,-0.04469555761740677,0.09289015462948944,0.07888455982886436,0.0782059723651862,0.0018231896594863024,-0.06326835533630513,0.07262773274508019,0.018350675612727976,-0.033669792914449666,-0.08392131197960968,-0.07376731864064354,0.02461934756302696,-0.006290818894270306
AMPKa,-0.033446827411692484,0.11060639943426177,0.0031379614231732745,0.056195117420653966,-0.019701423483034556,-0.057801404871039665,0.014303764872556303,0.03073650384170995,-0.0038301366397375932,0.0075706576144831715,0.029112087429368712,-0.037660996977311886,0.07886969021658845,-0.03196660106539011,0.1242330198383923,0.010418805150741652,-0.052796402157925484,0.0048732089305811984,-0.051270641588677834,0.02281117190920154,-0.008893621821619457,-0.081199258686506,-0.01719880579364724,0.004148990876702797,-0.026771145492311077,0.006099348271039472,0.008163625405371886,0.044322803620241144,-0.07596627465513853,0.03860402681305164,-0.10555755880903406,-0.03301671778166067,0.07165843364138508,0.010009669943234309,0.2646984935929689,0.04533428395921586
AMPKa_pT172,0.18174513997337954,0.2433181442323182,-0.11294068617454793,0.32561815779440434,-0.14162910631720724,-0.7081148434617571,0.15273240992602702,0.09114055714096743,-0.13890447987245674,0.22135773693587923,-0.15417800715502974,0.22670112635744358,0.17653295493633203,-0.11305315286310855,0.48016017939307143,-0.033825890600978646,0.168930065028416,0.06454949463398381,-0.14200701366525387,0.20081455451838628,0.033568002160716065,0.18754131524262838,0.04739350920519669,-0.04917818014295047,0.2052269105933119,-0.004760966404853649,0.04035580447364033,-0.08466786743440219,-0.44355217131041663,-0.1341197874744607,-0.4867324385521519,0.25455019571382653,-0.034367716446379766,-0.10930641711247703,0.5471376036764243,0.09104259465474751
Annexin-I,-0.13198348713731742,-0.09878434751613094,0.042115999504202986,-0.07133943466131064,-0.03256502621062825,-0.06813742513459281,-0.09600587283049367,-0.25582218968525217,-0.06306760362075364,-0.2367412041729429,-0.09996375826073255,-0.09719886647520583,0,-0.054229864003902235,0.09519052758613362,-0.05938316902085103,-0.10318332494394326,-0.003978964209375376,-0.0014617301596391548,-0.006423631226614213,-0.0731237923557962,-0.1038474380259232,-0.08770567698304971,-0.20442138534288934,0.01826386152538205,-0.004149799915915169,-0.10871074062929068,0.035881716198654205,-0.15742914966765917,-0.006016684354398652,-0.12141425292599287,-0.2005217141456883,-0.07670595879657403,-0.15543005273888236,0.059566541462989904,-0.09018322336514596
Annexin-VII,-0.010227594689088756,0.05377963932690675,0,-0.007339703086018628,0.004666176731422559,0.055591949600777686,0.06366732358711712,-0.026984787217576568,0.010814066404067577,-0.006638386947711589,0.06447876942519583,0.02791109391070618,0.05899059140890677,0.035733141601349154,0.08115206018284414,0.02217266380907506,0.0011449453495764304,0.07317448953931353,-0.00845171433586738,0.14947306018091028,0.01781868700519266,0.0164461861034614,0.0073167776200697655,0.06661588370462283,0.07928755543813402,2.5811353785909475e-4,0.14325075042991864,0.0676463324287655,0.017063654268717917,0.025779336647278245,-0.020686496233579436,0.03644756538719017,0.01655558962980118,4.233071160522209e-4,0,-0.010996230451717685
AR,0.08031627124394042,-0.06886161883216056,-0.030312244934287604,-0.09492869695730619,-0.039878866208397624,0.041440779492379634,0.12304121405235231,-0.0942195077315734,-0.006013031875783238,-0.06465736031773131,0.004474496247005051,-0.03278082855772724,-0.07255663408214888,0.010451456085397836,0.06287592068397517,0.023614730401468633,0.06675637054955064,-0.2659365554366241,0.005230461793026079,-0.11845401938155534,-0.09025302956782943,-0.05923224139869354,-0.07508429794606314,0.027086250334159134,-0.10190316443998346,-0.01952082127216426,0.3410360378768728,0.040976278770748074,0.3179589332414402,0.11451831751692947,0.07660388380145564,0.09265712751012335,-0.24087407070892694,0.027618467132033902,-0.1261335012490468,-0.057426958910737944
ARID1A,0.015184005248951233,0.09862441890713675,-0.032011942536486857,0.015701873254214266,-0.005410426085150423,-0.05229993304198587,-0.02687733028392188,0.1876802343435052,-0.04330921799118043,0.2430662048308094,0.016264173306842798,0.03216661640687334,0.15964257683640654,-0.003628360100414845,0.236681832770894,0.03353071269308584,-0.053636966659370997,0.16332471348192917,-0.00605765750033588,0.226190154161443,-0.039654902356222876,-0.04405310479932051,0.40881315685824887,-0.036825382034442425,0.22888777985112943,-0.02314396675579759,0.08096047759456061,-0.0235213905545871,-0.029057648926951257,-0.4585613380476456,0.05290376488076669,4.929177644214793e-4,0.013538041647659623,-0.09493062845131016,-0.0948651751387654,-0.03000113008218685
Atg3,0.015363253916518667,-0.06477843515598868,0.0054668149940636235,-0.11313470944553354,-0.0015259530106251818,0.05113227813825966,0.052415795943642214,-0.04895067293538784,0.044224921963233924,-0.043113710504623814,-0.003127068665591654,0.010107067024449877,-0.008662984338858513,0.05803668386023383,-0.11003833897306566,-0.008330596560362138,0.0348863959181919,-0.13693269634751626,0.002819690064221407,0.04070804417038482,-0.00485897745172153,0.030353980928254535,-0.08846618994419098,0.06005316805632987,-0.2241483750685558,0.03366082948694864,0.11582937810512553,-0.0664901511001405,0.16424493987721195,-0.14269598887163581,0.06005698532062944,0.02347421528245637,-0.1038564138487134,0.0027638340219663486,-0.20739009722287524,0.02718806464161457
